PLATE ,8;1,2;1,1;2,1;8,
1,22,22,39,74,,,,,,,,,,,
2,72,67,78,69,,,,,,,,,,,
3,50,6,49,52,,,,,,,,,,,
4,37,12,63,65,,,,,,,,,,,
5,43,65,78,91,,,,,,,,,,,
6,20,15,48,47,,,,,,,,,,,
7,45,82,56,135,,,,,,,,,,,
8,21,17,35,35,,,,,,,,,,,
9,72,23,41,68,,,,,,,,,,,
10,17,5,58,62,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,